amfi_code,cagr,sharpe_ratio,alpha,beta,max_drawdown,expense_ratio_pct,return_rank,sharpe_rank,alpha_rank,expense_rank,dd_rank,fund_score
125498,0.11293660210400969,0.30061192104254786,0.11989100971217971,0.009054412621739182,-0.21117279560132118,0.78,26.0,27.0,26.0,10.0,29.0,24.15
120844,0.0691037983940288,-0.08874729621557288,0.06455677495375998,-0.0004007442394784006,-0.0011629327956168556,0.6,30.0,34.0,32.0,3.0,2.0,24.549999999999997
102887,0.16828673461948984,0.6195175900829828,0.16211256794033255,0.016682689437770806,-0.21539827112383225,1.64,20.0,22.0,21.0,39.5,30.0,24.625
149322,0.13383520958789363,0.46403744922047774,0.13173190226099432,-0.0040502711300065145,-0.14844576917771746,1.54,25.0,25.0,24.0,30.5,16.0,24.725
119093,0.07891944369437343,0.12961449795669328,0.08232801295222093,0.02588321244009315,-0.21751396370148224,0.75,28.0,29.0,28.0,8.0,31.0,25.55
120841,0.13522349085511554,0.4942725378672349,0.13042924450705445,0.036356399022199795,-0.1757361416468729,1.59,24.0,24.0,25.0,35.0,24.0,25.85
118636,0.053131554027608274,-0.35662950751436784,0.05074772999976104,0.0012566742731558499,-0.08316361763638702,0.55,35.0,38.0,35.0,1.0,6.0,27.75
119120,0.05885271270380055,-0.22657538662791576,0.05620895216638369,-0.006413850728276474,-0.04328728923970093,0.77,34.0,37.0,34.0,9.0,5.0,28.1
101208,0.06504429821332125,-0.8155673679088263,0.060861457957871144,0.00026670968338238357,-0.0016224980244717857,0.79,32.0,40.0,33.0,11.0,3.0,28.150000000000002
101207,0.07933120999915699,0.16266076928646772,0.10897091901704538,-0.06528924788351524,-0.3544691649336603,1.53,27.0,28.0,27.0,28.5,38.0,28.575
100025,0.04455091155784441,-0.5670947928476846,0.042817920315060876,0.0011582183155281435,-0.04308263824636349,0.56,36.0,39.0,38.0,2.0,4.0,28.849999999999998
120842,0.06696806255006482,0.07599984804658923,0.0780443887615508,0.018056874208118173,-0.24003511326274884,1.56,31.0,30.0,29.0,33.0,33.0,30.849999999999998
119092,0.0636349475771898,0.03078485095458594,0.0689952982167755,0.009730745001153611,-0.1440161790933726,1.64,33.0,31.0,30.0,39.5,15.0,31.075
119599,0.02053064146209893,-0.05718662582817995,0.048824215945539845,0.062001804382671666,-0.5257422117012851,0.72,38.0,32.0,36.0,5.5,40.0,31.424999999999997
119095,0.015204552427132478,-0.0759735711747892,0.048015953637759554,-0.06695117463929201,-0.5167775370852656,1.38,39.0,33.0,37.0,17.0,39.0,33.800000000000004
100016,0.026352458116335464,-0.20151706755966936,0.03747580763443281,-0.058268431438808936,-0.24734440880673303,1.55,37.0,35.0,39.0,32.0,34.0,35.85
102886,0.0117093879842316,-0.20583160785470309,0.02896939786637944,-0.0421250290218943,-0.2800112356639287,1.51,40.0,36.0,40.0,24.5,35.0,36.175
